signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16008,0.5055883461007158,15926,1.4104790717535707,0.003984527350048161,0.504105767244292
momentum_score,5,16528,0.5016940948693127,16528,0.43558997390094645,-0.002694041202766912,-0.34632965781557906
relative_strength_score,5,4753,0.4881127708815485,4753,-1.639058809429988,-0.007869844205024354,-0.5424654707228617
condition_score,5,16528,0.5081987051491499,16527,2.108008109766005,-0.000561018758058313,-0.07212093110926161
institutional_flow_score,5,1379,0.485859318346628,1379,-1.0502252943835513,0.02777749463481504,1.0311637937444238
options_sentiment_score,5,506,0.5217391304347826,506,0.9780192938436508,0.04809586806550273,1.0810005760448569
ml_pred_return_5d,5,8002,0.5222444388902774,8002,3.9797035680911543,-0.015648992705849303,-1.3998598758056795
