signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16017,0.5053655475368686,15935,1.354628088299172,0.003614809726917517,0.45745855222873727
momentum_score,5,16537,0.5014210558142348,16537,0.36548494707453455,-0.003374380575560479,-0.4339089763865783
relative_strength_score,5,4756,0.48801513877207736,4756,-1.6530421531123656,-0.007795782759884678,-0.5375297609445077
condition_score,5,16537,0.5079825834542816,16536,2.0529987978225175,-0.000622794061549562,-0.08008416406688162
institutional_flow_score,5,1382,0.487698986975398,1382,-0.9145867294428321,0.028581721181747066,1.0621977687355395
options_sentiment_score,5,519,0.5260115606936416,519,1.1851684595265979,0.062123105613828895,1.4152660326035065
ml_pred_return_5d,5,8019,0.5208878912582616,8019,3.740974090131511,-0.016321260576783368,-1.4615628396603828
