signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16019,0.5051766329924076,15937,1.3070152590901452,0.0029158554240580007,0.36902723628935846
momentum_score,5,16539,0.5009976419372393,16539,0.25660157415299356,-0.006493298857367986,-0.8350316003176004
relative_strength_score,5,4756,0.48885618166526495,4756,-1.5370391949992115,-0.006061002578548442,-0.41790929884717654
condition_score,5,16539,0.5071955496432459,16538,1.850697606359569,-0.001740235825329682,-0.2237881704687716
institutional_flow_score,5,1385,0.47653429602888087,1385,-1.7465799484264921,0.01762477060979825,0.6555442717316868
options_sentiment_score,5,528,0.5359848484848485,528,1.6537377315791304,0.10547645850268283,2.432639615478914
ml_pred_return_5d,5,8016,0.5248253493013972,8016,4.4453321635072705,-0.011015348974399965,-0.9861643060650495
