signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16011,0.5052737317930688,15928,1.3311550933197456,0.0025133168987394776,0.3180026398933845
momentum_score,5,16531,0.5005746778779263,16531,0.147776044612107,-0.009428701684033572,-1.212256413432646
relative_strength_score,5,4761,0.48582230623818523,4761,-1.9565217391304381,-0.00853674190523839,-0.5889329174859267
condition_score,5,16531,0.5055051421657593,16530,1.4155817702755222,-0.005724183804957434,-0.7359426557602398
institutional_flow_score,5,1385,0.47436823104693143,1385,-1.907802712896628,0.010280483842492392,0.3823381162185079
options_sentiment_score,5,507,0.4677754677754678,481,-1.4134783330214138,0.07672574101838034,1.7292941366668024
ml_pred_return_5d,5,8005,0.5276702061211742,8005,4.95134351700226,-0.009833161977196386,-0.879712167459028
