signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16007,0.5057774428535544,15924,1.4581148686259382,0.0037819751713493834,0.47846438766622834
momentum_score,5,16527,0.5018454649966722,16527,0.4744962903901436,-0.003919268491957564,-0.5038242716672495
relative_strength_score,5,4753,0.4876919840100989,4753,-1.6970785902947627,-0.00811721062451923,-0.5595174535896744
condition_score,5,16527,0.5082899673242164,16526,2.131408476494024,-0.0006382530393070273,-0.08204719045701933
institutional_flow_score,5,1376,0.47819767441860467,1376,-1.617491598051575,0.017478698164994786,0.6479907385837572
options_sentiment_score,5,506,0.525691699604743,506,1.1558409836334047,0.08365261832185152,1.884602197401928
ml_pred_return_5d,5,8002,0.523994001499625,8002,4.292713961087089,-0.006159079259390941,-0.5508952451123761
