signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16010,0.505368242606894,15927,1.3549682548154873,0.0030508001117423083,0.3859973405905323
momentum_score,5,16530,0.5007259528130672,16530,0.18667012355282742,-0.009309132361867319,-1.196845734242298
relative_strength_score,5,4760,0.48550420168067226,4760,-2.0002100730009476,-0.008535684237696878,-0.5887980744957928
condition_score,5,16530,0.505777724000242,16529,1.48562800461369,-0.005914776508427089,-0.7604244780589869
institutional_flow_score,5,1385,0.4736462093862816,1385,-1.9615436343866746,0.00785487083798738,0.292121509626426
options_sentiment_score,5,505,0.47128712871287126,505,-1.2904830625209571,0.10059265615115019,2.2675597964874186
ml_pred_return_5d,5,8012,0.5258362456315526,8012,4.625193118446573,-0.010477893617856067,-0.9378083253991272
