signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16009,0.5066859187645175,15929,1.6876615163250155,0.004915960814779481,0.621968847432086
momentum_score,5,16529,0.5014520813165537,16528,0.3733628347722317,-0.003120211830483304,-0.4011282111899064
relative_strength_score,5,4753,0.48748159057437407,4753,-1.726088480727154,-0.0037970895196991457,-0.2617257675842017
condition_score,5,16529,0.5085309777347532,16528,2.1935066542868826,0.0005741142719272606,0.0738066388893196
institutional_flow_score,5,1382,0.48986975397973953,1382,-0.7531890713058608,0.029136908679272194,1.082847862282295
options_sentiment_score,5,506,0.5496957403651116,493,2.2068490106441216,0.13627839830006716,3.088254073134492
ml_pred_return_5d,5,7998,0.5203800950237559,7998,3.645246487617656,-0.009886372385470106,-0.8840861410484697
