signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16009,0.5056821749230865,15927,1.43420616445381,0.0042402727357638385,0.5364789279747755
momentum_score,5,16529,0.5017847419686612,16529,0.45891126844088836,-0.0026898482798260607,-0.34580109893604866
relative_strength_score,5,4753,0.4883231643172733,4753,-1.6100489189975968,-0.007759305925704252,-0.5348456456930617
condition_score,5,16529,0.5082284607938045,16528,2.115722730375989,-0.0003363258711531526,-0.0432371753292357
institutional_flow_score,5,1382,0.48552821997105644,1382,-1.0759843875798034,0.026510906302816675,0.9851827270117428
options_sentiment_score,5,506,0.5217391304347826,506,0.9780192938436508,0.04409310466367882,0.9908514208441161
ml_pred_return_5d,5,8002,0.5194951262184454,8002,3.4878300933832684,-0.017306999348316823,-1.5482169689788743
