signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16018,0.5058048321305303,15935,1.4655333119026028,0.003828886972135712,0.484565800948022
momentum_score,5,16538,0.5018140041117427,16538,0.4665624217713329,-0.0036927857970113264,-0.47486734949639264
relative_strength_score,5,4756,0.4878048780487805,4756,-1.682042892640652,-0.008314879883954353,-0.573324606959096
condition_score,5,16538,0.5081937473544174,16537,2.107370652280752,-0.0009373861466452227,-0.12054076782797624
institutional_flow_score,5,1382,0.479739507959479,1382,-1.5063781426117258,0.021994538795691694,0.8172585548931627
options_sentiment_score,5,516,0.5174418604651163,516,0.7924058156930628,0.06223910504132907,1.4137990864248906
ml_pred_return_5d,5,8016,0.5244510978043913,8016,4.378317105765956,-0.010871322559958707,-0.9732686085310688
