signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16009,0.5049915238274628,15927,1.2598827632494947,0.0028250445724192935,0.3574226001257662
momentum_score,5,16529,0.5011192449633977,16529,0.28779181241207386,-0.006227746802735114,-0.8006383398759909
relative_strength_score,5,4753,0.4891647380601725,4753,-1.4940093572680397,-0.006028719456586994,-0.41555210092188577
condition_score,5,16529,0.5070788964181994,16528,1.8201438195146222,-0.0018195514968294667,-0.2339171607668796
institutional_flow_score,5,1385,0.4779783393501805,1385,-1.6390981054463987,0.016346851543666704,0.6079995282907346
options_sentiment_score,5,519,0.5317919075144508,519,1.4485392283102834,0.09862642304415399,2.253518473529837
ml_pred_return_5d,5,8009,0.5249094768385566,8009,4.458448442806998,-0.011159497810906815,-0.9986346010519175
