signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16009,0.5059961072392792,15927,1.5134440740921604,0.004352109873941193,0.5506288172801237
momentum_score,5,16529,0.502026740879666,16529,0.521136525178621,-0.002673660456063589,-0.343720012272064
relative_strength_score,5,4753,0.4881127708815485,4753,-1.639058809429988,-0.0080571966863345,-0.5553804371226942
condition_score,5,16529,0.508349467570184,16528,2.1468362999403463,-0.0003158478442998189,-0.040604573425580215
institutional_flow_score,5,1382,0.4840810419681621,1382,-1.183582826337783,0.02514930153443921,0.9345506793892583
options_sentiment_score,5,506,0.5217391304347826,506,0.9780192938436508,0.051751103631343706,1.163368292448899
ml_pred_return_5d,5,8002,0.5216195951012247,8002,3.867914142021185,-0.011936684291488243,-1.0677255699142674
