signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,2548,0.4829635499207607,2524,-1.7118029716147725,-0.0027383299155479407,-0.1381709039696436
momentum_score,5,3068,0.553129074315515,3068,5.885588879094063,0.1700834098802133,9.557017811213894
relative_strength_score,5,944,0.4989406779661017,944,-0.06509445549041176,0.06124113704762685,1.8831487818812458
condition_score,5,3068,0.516297262059974,3068,1.8053953616852998,0.0859320416315515,4.775849569492672
institutional_flow_score,5,0,,0,,,
options_sentiment_score,5,0,,0,,,
ml_pred_return_5d,5,1632,0.5912990196078431,1632,7.376599195176224,0.24559938801441955,10.228945704881175
