signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16008,0.5052116036669597,15926,1.315390595006151,0.003082539913409417,0.3899888390422717
momentum_score,5,16528,0.5014520813165537,16528,0.3733628347722317,-0.005537065803701208,-0.7118200498864693
relative_strength_score,5,4753,0.48874395118872294,4753,-1.5520291381328144,-0.006292325677154213,-0.433722852773681
condition_score,5,16528,0.5074121135112241,16527,1.9057637892718478,-0.0013020713375029224,-0.16738595761477887
institutional_flow_score,5,1382,0.47756874095513746,1382,-1.667775800748697,0.016377333714600685,0.6084725520694892
options_sentiment_score,5,507,0.5285996055226825,507,1.2879352158845514,0.09977372217446594,2.253379563220564
ml_pred_return_5d,5,8002,0.5216195951012247,8002,3.867914142021185,-0.009765086190870631,-0.8734575072538012
