signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16008,0.5053371844782117,15926,1.3470867539219575,0.0033492096212833977,0.42372703314264154
momentum_score,5,16528,0.5017545982575025,16528,0.45114675868312515,-0.0048973136530719346,-0.6295743155046469
relative_strength_score,5,4753,0.4885335577529981,4753,-1.5810390285652056,-0.006796211027652093,-0.4684566417514958
condition_score,5,16528,0.5081381981000787,16527,2.0924508543433733,-0.00089875721828529,-0.11553842446715853
institutional_flow_score,5,1382,0.47829232995658466,1382,-1.6139765813697051,0.01724662480750166,0.6407789817699481
options_sentiment_score,5,507,0.5301455301455301,481,1.322286182503903,0.10605689799703714,2.3968504453216832
ml_pred_return_5d,5,8002,0.5284928767808048,8002,5.09759782879093,-0.00548867444833389,-0.4909293617271523
