signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16009,0.5055566019966096,15927,1.4025110005984978,0.0035730783312041795,0.45206437314336323
momentum_score,5,16529,0.5018452416964123,16529,0.4744675826253001,-0.004313144044450475,-0.5544916564013548
relative_strength_score,5,4753,0.4883231643172733,4753,-1.6100489189975968,-0.007468005342679291,-0.5147652790897739
condition_score,5,16529,0.5082284607938045,16528,2.115722730375989,-0.0007325812559104768,-0.09417875230410898
institutional_flow_score,5,1379,0.47788252356780275,1379,-1.6426600758306829,0.01684397375533246,0.6251340341691155
options_sentiment_score,5,507,0.5325443786982249,507,1.4655814525582833,0.11341125334153385,2.565150959796058
ml_pred_return_5d,5,8002,0.520994751312172,8002,3.7561247159512154,-0.009925888496642605,-0.8878421942551208
