signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16011,0.5052420114257016,15929,1.3231900151468552,0.002436208842667836,0.3082463241512398
momentum_score,5,16531,0.5005746778779263,16531,0.147776044612107,-0.008730609620493315,-1.1224949914236355
relative_strength_score,5,4761,0.4854022264230204,4761,-2.0144927536231862,-0.008653394381851571,-0.5969811394222344
condition_score,5,16531,0.506291591046582,16530,1.6178077374577235,-0.004027918969375795,-0.5178542419188421
institutional_flow_score,5,1382,0.4761215629522431,1382,-1.7753742395066765,0.014443566508096242,0.5366106576987483
options_sentiment_score,5,507,0.5101214574898786,494,0.4499212706658493,0.08370061910617851,1.8875610284447502
ml_pred_return_5d,5,8005,0.5282948157401623,8005,5.063111993684028,-0.010145890379730967,-0.9076928788017568
