signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16012,0.5051164542658045,15929,1.291496841131363,0.002280238072098136,0.28852070693592097
momentum_score,5,16532,0.5004234212436487,16532,0.10888431853193396,-0.00926672338203551,-1.1914649575075198
relative_strength_score,5,4761,0.48561226633060284,4761,-1.9855072463768084,-0.008476416746207539,-0.5847709041318395
condition_score,5,16532,0.5056560401669591,16531,1.4544273864455088,-0.0048644833245621326,-0.6254293879639505
institutional_flow_score,5,1385,0.47653429602888087,1385,-1.7465799484264921,0.014378325091301986,0.5347666135004893
options_sentiment_score,5,507,0.48717948717948717,507,-0.5773502691896262,0.0829127932898609,1.8696709311075437
ml_pred_return_5d,5,8005,0.520049968769519,8005,3.5877681014847114,-0.012900151792495353,-1.1541370111931828
