signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16013,0.5054296654321763,15931,1.3706437318037796,0.00374909932265664,0.47439404311482325
momentum_score,5,16533,0.5015423698058429,16533,0.39663802162169964,-0.002959028562489002,-0.38045265706075415
relative_strength_score,5,4753,0.4883231643172733,4753,-1.6100489189975968,-0.0077383638485386454,-0.5334020306884435
condition_score,5,16533,0.5079845148802323,16532,2.0532471494592897,-0.000560068594866674,-0.0720096751768138
institutional_flow_score,5,1376,0.48691860465116277,1376,-0.9704949588309475,0.028573372161774743,1.0595762709116483
options_sentiment_score,5,510,0.5351239669421488,484,1.5454545454545476,0.0568237386393141,1.28281476376345
ml_pred_return_5d,5,8005,0.5181761399125546,8005,3.2524626714394085,-0.017134330656975484,-1.5330535059412347
