signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16006,0.5051494599346897,15924,1.2996241220361453,0.0028343333187500455,0.358564209614158
momentum_score,5,16526,0.5007866392351447,16526,0.2022504393753554,-0.00764600972937517,-0.9828904934618558
relative_strength_score,5,4757,0.48560016817321844,4757,-1.986341843827024,-0.008524842837033345,-0.5878647548851705
condition_score,5,16526,0.5066263237518911,16525,1.7036225530698716,-0.0029530197791563543,-0.3795996843365692
institutional_flow_score,5,1379,0.47643219724437996,1379,-1.7503754906392537,0.015282201256188947,0.5671574021874557
options_sentiment_score,5,506,0.5335968379446641,506,1.5114843632129173,0.10937320758733801,2.4702420068664344
ml_pred_return_5d,5,8005,0.5225484072454716,8005,4.034842008211782,-0.011570335848447385,-1.035145612601936
