signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16018,0.5052083333333334,15936,1.314977819838301,0.002886236880311401,0.365267313785962
momentum_score,5,16538,0.5010279356633208,16538,0.2643853723370772,-0.006602958395666218,-0.8491086405281565
relative_strength_score,5,4756,0.48885618166526495,4756,-1.5370391949992115,-0.006058837394892899,-0.41776000281976094
condition_score,5,16538,0.5072262199915342,16537,1.8585298372513008,-0.0019332094050565109,-0.24859646151589349
institutional_flow_score,5,1382,0.4768451519536903,1382,-1.7215750201276847,0.016482824324927835,0.6123929416620141
options_sentiment_score,5,529,0.5349716446124764,529,1.608695652173913,0.10626498984579295,2.453361484906926
ml_pred_return_5d,5,8012,0.5263354967548677,8012,4.714568830880329,-0.010715686329396902,-0.9590940263361348
