signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16019,0.5057730923694779,15936,1.4575657762062892,0.003931779903219291,0.4976031754944156
momentum_score,5,16539,0.5017231997097769,16539,0.4432209008096954,-0.003894159369694687,-0.500778156800675
relative_strength_score,5,4756,0.4878048780487805,4756,-1.682042892640652,-0.008314076529956348,-0.5732692105537871
condition_score,5,16539,0.5081025516991172,16538,2.0839788172452356,-0.0009025704458105036,-0.11606723771077662
institutional_flow_score,5,1379,0.4807831762146483,1379,-1.4272292462135452,0.01880633219317783,0.6979878890078914
options_sentiment_score,5,518,0.5173745173745173,518,0.7908745952947426,0.06571129612686759,1.4959068496498333
ml_pred_return_5d,5,8009,0.5240354601073792,8009,4.302011655340094,-0.009113354958751272,-0.8155136523073786
