signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16018,0.5053965863453815,15936,1.3625071386276304,0.0037390372602938713,0.47319468607769505
momentum_score,5,16538,0.5015116700931189,16538,0.38880201814277743,-0.0032428492774347075,-0.4170078967678268
relative_strength_score,5,4756,0.48801513877207736,4756,-1.6530421531123656,-0.007792794031886963,-0.5373236715906802
condition_score,5,16538,0.5079518655136965,16537,2.045160448523382,-0.000534675494593963,-0.06875520380186052
institutional_flow_score,5,1379,0.485859318346628,1379,-1.0502252943835513,0.024920152244293295,0.925023049920516
options_sentiment_score,5,521,0.525911708253359,521,1.182891476713476,0.06063113251961367,1.383818373570124
ml_pred_return_5d,5,8012,0.5212181727408887,8012,3.79846777843439,-0.01701555443639059,-1.523088862360792
