signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16017,0.5055227814735785,15934,1.3942808464221466,0.00334064057612263,0.4227617107901672
momentum_score,5,16537,0.5008163512124327,16537,0.20995943768110953,-0.009130259764807736,-1.1740952632430077
relative_strength_score,5,4760,0.48550420168067226,4760,-2.0002100730009476,-0.008530495345313362,-0.5884401146452948
condition_score,5,16537,0.5058659893565554,16536,1.508643055975622,-0.005803579085642439,-0.7462860447572706
institutional_flow_score,5,1382,0.47395079594790157,1382,-1.9367718976436479,0.005712339173665458,0.21220744431641708
options_sentiment_score,5,510,0.4764705882352941,510,-1.0627378626481156,0.10662903755193026,2.4170765131134764
ml_pred_return_5d,5,8015,0.5235184029943856,8015,4.211042134408863,-0.009619395686660703,-0.861123527282112
