signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16007,0.5053689167974882,15925,1.3550533364930502,0.003800472336568089,0.48080453056745615
momentum_score,5,16527,0.5013614086041024,16527,0.35003824700911723,-0.003426483422497242,-0.4404756636712858
relative_strength_score,5,4753,0.4879023774458237,4753,-1.6680686998623715,-0.00808552906856699,-0.5573335081982316
condition_score,5,16527,0.5078663923514463,16526,2.022504393753468,-0.00048427921359898225,-0.06225390713668726
institutional_flow_score,5,1382,0.487698986975398,1382,-0.9145867294428321,0.028675150308075464,1.065672777975299
options_sentiment_score,5,510,0.5196078431372549,510,0.8856148855400972,0.054883120802105036,1.2388699628719289
ml_pred_return_5d,5,8012,0.5198452321517724,8012,3.5526845692415807,-0.017372552787118422,-1.555053890602879
