signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16018,0.5085660495764042,15935,2.1626518602670863,0.012365937601422043,1.5650826920905128
momentum_score,5,16538,0.502690935478019,16537,0.6920885168006986,0.0038918709710458513,0.500468738112175
relative_strength_score,5,4760,0.48970588235294116,4760,-1.4204390373485012,-0.0038993987505922165,-0.2689757758327417
condition_score,5,16538,0.5075285722924352,16537,1.9362925919480132,0.0036121971801625023,0.46450406012777257
institutional_flow_score,5,0,,0,,,
options_sentiment_score,5,180,0.5657142857142857,175,1.7386365758424456,0.17125476939691223,2.319083944778225
