signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16008,0.5059968602825746,15925,1.5135391068431392,0.004191646589833725,0.5303100778918666
momentum_score,5,16528,0.5019966118102613,16528,0.5133738978118114,-0.0030322303531875607,-0.3898055888713915
relative_strength_score,5,4753,0.4879023774458237,4753,-1.6680686998623715,-0.008352957002196784,-0.575768514821444
condition_score,5,16528,0.5084407333454347,16527,2.170237131456504,-0.0005653594033043579,-0.07267893647350315
institutional_flow_score,5,1382,0.4804630969609262,1382,-1.4525789232327337,0.023788608246148226,0.8839577249837608
options_sentiment_score,5,506,0.5217391304347826,506,0.9780192938436508,0.06650853478723069,1.4964262056505484
ml_pred_return_5d,5,8009,0.5219128480459483,8009,3.9220937429204414,-0.013091532080927486,-1.1715548013566688
