signal,horizon,n,direction_hit_rate,direction_n,hit_zstat,ic,ic_tstat
trend_score,5,16019,0.5085341365461847,15936,2.154662451783224,0.012241043665288494,1.549321598929188
momentum_score,5,16539,0.5028419397750635,16538,0.7309477941084102,0.004124545142866618,0.5304056218840771
relative_strength_score,5,4761,0.49002310438983404,4761,-1.3768115942029022,-0.0032102876808429224,-0.2214644603860035
condition_score,5,16539,0.5077397508767687,16538,1.9906663328909746,0.0026064826657996435,0.33518508055803287
institutional_flow_score,5,0,,0,,,
options_sentiment_score,5,480,0.49375,480,-0.2738612787525821,0.020250721121892825,0.442836602118944
